10 hral|torn.
26 'gro lugs|(custom) manner.
26 gser mkhar|a royal castle.
26 'gyings pa|v. {'gying ba}.
26 g.yo mo|SANST a low woman.
26 'jam mo|post-stage (Sch.).
26 ji snyam pa|equal to what?
26 ka ma ta|the lotus (Oag.).
26 khabs|n. of disease (Jä.).
26 kha bye ba|SANST in bloom.
26 kha kyel ba|SANST to kiss.
26 kha mur|bit (of a bridle).
26 kha ro|taste in the mouth.
26 kha zhur|water-hen (Sch.).
26 khyebs|+\n= {khebs} cover.
26 khyim zhag|a zodiacal day.
26 ki|numeral for thirty-one.
26 klu sman|n. of a medicine.
26 ko kya|SANST pure (Lexx.).
26 ku deng nge|See ante {ku}.
26 ku lA la|‡ for {ku Na la}.
26 las skal|retributive fate.
26 lcags khyem|SANST a spade.
26 lcags zhol|n. of a weapon.
26 lhas pa|v. under {sle ba}.
26 ljang ser|greenish-yellow.
26 ljang skya|greenish-white.
26 lo bshad|= {lo tho} (Cs.).
26 ltem rgyang|whim, caprice.
26 lus byad|form of the body.
26 mchan 'og|v. {mchan khug}.
26 mchog bdag|met. the earth.
26 mgo nyal|hair of the head.
26 mngon shes|fore-knowledge.
26 mnyam med|v. {mnyam bral}.
26 mnyan|boat, skiff, wherry.
26 nag nog|SANST [touching]S.
26 nang tshags|= {nang lugs}.
26 nu gdan|cow's udder (Cs.).
26 nyes byas|a wicked action.
26 nyung skyon|slight defect.
26 'on tang|+\n= {'on kyang}.
26 pad ma'i ze ba|= {ge sar}.
26 pa wa sangs|v. {pa sangs}.
26 pen pa|pincers (in Sikk.).
26 pe ra|a flat basket (Jä.).
26 phag rgod|SANST wild boar.
26 phyag 'byor|= {phyag son}.
26 phyag dpung|resp. for arm.
26 phyang yar|= {'phrin las}.
26 rang rigs|SANST a kinsman.
26 rgya khyi|Chinese lap-dog.
26 rgyang tshas|not far from.
26 rgyan mchog|SANST earring.
26 rgya Tam|the Indian rupee.
26 rgyu gang|for what reason.
26 rkub tshos|buttocks (Cs.).
26 rnga sbug|drum and cymbal.
26 rnga zor|n. of a demi-god.
26 rngul gzan gyi gzan|SANST.
26 sa'i zla ba|= {gser} gold.
26 sbrad pa|= {'brad pa} q.v.
26 sga snang|respectable men.
26 sgrigs|imp. of {sgrig pa}.
26 sgrogs ldan|SANST a river.
26 shi la dru|‡ = {skyer pa}.
26 sna can ma|SANST the wind.
26 sngan bu|a medicinal herb.
26 sprin bcud|as met. = rain.
26 sprin gsar|SANST met. ink.
26 sreg za|SANST, SANST fire.
26 srog thag|= {dpyang thag}.
26 ta yig|SANST the letter ).
26 than thun|a little (Sch.).
26 thems yig|memorial (Sch.).
26 thob yig|repertory, index.
26 thor re ba|v. {thar thor}.
26 thub pa'i bu|= {khug rta}.
26 thub pa nyid|SANST a sage.
26 thugs bde|happy, cheerful.
26 thur zho|a pair of scales.
26 tra|({srag}) SANST an ape.
26 ya ba k+Sh ra|‡ saltpetre.
26 yal 'phyong|large numeral.
26 ya sha|esteem, = {zhe sa}.
26 yed po|prov. for {yag po}.
26 ye shes snying po|= SANST.
26 zag byed pa|to make water.
26 zan snyig|SANST a mistake.
27 an|in W. white chalk (Jä.).
27 asma gar bha|‡ the emerald.
27 bco pa|a colt one year old.
27 bldags pa|SANST [licking]S.
27 brjid pa|to shine, glitter.
27 bsam bse'u|seminal vesicle.
27 bsgoms pa|pf. of {sgom pa}.
27 bsnyen bsring|= {nye ring}.
27 bya khyung|SANST; an eagle.
27 byor|= {nar nar} (Oag. 48).
27 ca cir|bark (in Ld.) (Jä.).
27 cag cob|= {cag cag} (Oag.).
27 cag rdo|v. {cag dkar} in W.
27 cang srid|what; what is it?
27 chab khung|urinal, a privy.
27 cha de|for {cha yod pa de}.
27 cha rdzogs|v. {cha snyoms}.
27 char ston|met. the swallow.
27 chos 'dod|the son of Cupid.
27 chu thags|SANST water-mill.
27 ci sto|what does it matter?
27 dgab pa|fut. of {'gebs pa}.
27 dga' mo|SANST good; lovely.
27 dpal sbyin|SANST; = Kuvera.
27 du ba 'tshubs|SANST hornet.
27 'du 'dzin|SANST [company]S.
27 e la|‡ SANST = pomegranate.
27 en 'dar|v. {an 'dar} (Jä.).
27 gar nag|name of a medicine.
27 gnya' tshigs|spinal joints.
27 gnyis ga|= {gnyis ka} both.
27 gros can|careful; cautious.
27 gshas ma|Sch. = {gsha' ma}.
27 gshol po|poplar-tree (Jä.).
27 gsod sa|place of execution.
27 gzhe ning|for {gzhes ning}.
27 gzud pa|fut. of {'dzud pa}.
27 hi'i ka|breast-bone (Sch.).
27 'jigs chum pa|v. {chum pa}.
27 ka med|helpless, powerless.
27 kar rgyal|a Naga (S. kar.).
27 kha 'dzin|SANST the cuckoo.
27 kha gab|cover, lid. (Sch.).
27 kha ga po|difficult (Sch.).
27 kha lhag|remnant of a meal.
27 kha sgor|the shoulder bone.
27 khog shugs|a groan; a sigh.
27 khongs ril|crippled. (Jä.).
27 khrag ling|a clot of blood.
27 khyim zla|a zodiacal month.
27 klu rgyal|*\nSANST (Schr.).
27 ko ba mnyed mkhan|a tanner.
27 lag btsug|a shoot, a scion.
27 lam rgyus pa|= {lam mkhan}.
27 lcags sgyid|trevet; tripod.
27 lcags thab|= {lcags sgyid}.
27 ma 'byar ba|SANST analysis.
27 mchod khang|SANST a chapel.
27 mda' bstan|SANST [a deer]S.
27 me tog mig sman|= {mthing}.
27 mkhris nad|bilious disease.
27 mthas klas|v. {mtha' klas}.
27 na rdza|SANST [sprinkled]S.
27 nem bu|doubt, error (Sch.).
27 ngud mo|a sob (Cs.; Schr.).
27 nor rdzas|wealth, chattels.
27 nya bo|body, figure (Sch.).
27 nyal bu|bastard, whore-son.
27 nyams dgu|v. {nyams thabs}.
27 nye'u gyi|+\n= {bcud chor}.
27 pha khol|SANST [obstacle]S.
27 'phar|a panel, small plank.
27 'pher ba|SANST [to raise]S.
27 'phod pa|= {phod pa} (Cs.).
27 phyi than|a threat, menace.
27 po ti|= {pu ti} small book.
27 re shig|used for {re zhig}.
27 rgod skam ma|a barren mare.
27 rgyal po can|royal; kingly.
27 rgya rog|= {ag tsom} beard.
27 rig pa po|SANST the knower.
27 rigs ldan ma|SANST (Moon.).
27 rkang ngar|the leg (Moon.).
27 rta bel|a horse's forelock.
27 rtag par|SANST adv. always.
27 rta gras|= {rta ra} stable.
27 rta shad|curry-comb (Sch.).
27 rten chas|things, articles.
27 rtsa shes|primitive wisdom.
27 sar pa|SANST [fresh, new]S.
27 se rel|half open, W. (Jä.).
27 sgang mthon po|a high hill.
27 sgo pur|fore-skin; prepuce.
27 sgul skyod|SANST agitation.
27 sgu mo|= {'ur rdo} a sling.
27 sgyen pa|to be on the move.
27 sha sta|= {klu} (Vai. so.).
27 skad cig bcom|v. {bcom pa}.
27 skub|SANST very low (Lex.).
27 sku gshegs pa|dying; death.
27 sna bum|SANST [ink-stand]S.
27 sna 'dzom pa|= {sne 'dzom}.
27 sngo sman|a medicinal herb.
27 snyod|= {go snyod} caraway.
27 srad ma|pease v. {sran ma}.
27 thabs lam|SANST a resource.
27 the chung|the smallest toe.
27 thug chad|agreement (Sch.).
27 thun mong ba|= {thun mong}.
27 tog yu|the handle of a hoe.
27 tre ba can|coloured (Sch.).
27 tri shu la|‡ SANST trident.
28 ar mo|n. of a bird (Rtsii.).
28 bar gos|a sort of waistcoat.
28 bca' sga|SANST dried ginger.
28 bcud smin pa|ripe; ripeness.
28 bgrang|SANST number; figure.
28 brjed|= {bskud pa} oblivion.
28 bsrang po|straight, upright.
28 bya ma byar skyag|dandelion.
28 byi ba'i lo ma|v. {thar nu}.
28 cha mdzes|SANST symmetrical.
28 'cham yig|a book on dancing.
28 chang mal|grog-shop, tavern.
28 'ching bsgrigs|an agreement.
28 chu khug|a creek; bay, gulf.
28 chu 'obs|water-ditch (Sch.).
28 chu rnag|matter, pus (Sch.).
28 ci mtshan|SANST of what sex?
28 ci tsug|how? in what manner?
28 cug cug|v. {cag cag} (Sch.).
28 dar sman|= {dar tshur} alum.
28 de 'dzin|SANST = acceptance.
28 dgung khag|division of time.
28 dkar yol|porcelain (Oag. 5).
28 dngud mo|= {ngud mo} (Sch.).
28 dngul bzo|SANST silversmith.
28 dpe mkhyud|+\nfond of books.
28 dpe sgra|in W. speech (Jä.).
28 dregs byed|met. for a devil.
28 dri blang ba|SANST to smell.
28 'dul bar 'dod|SANST courage.
28 dus su rung ba|SANST timely.
28 glan glen|v. {glen pa} dumb.
28 gling ngan|dispute; quarrel.
28 gnas tshe'u|SANST [a tank]S.
28 gnyid 'dod|wishing to sleep.
28 gnyid lam|= {rmi lam} dream.
28 gos zad po|worn-out clothes.
28 gri kha|the edge of a knife.
28 gros 'debs pa|giving advice.
28 gsang ba smra|SANST a charm.
28 gseng po|cautious, watchful.
28 gser mgar|goldsmith (Moon.).
28 gser sal le sbram|pure gold.
28 gsho mo|in W. a lever (Jä.).
28 gsod lugs|manner of killing.
28 gsol chang|resp. of {chang}.
28 gtan khrims|established law.
28 gya do|SANST a breast plate.
28 g.yal|SANST yawning, gaping.
28 gyen gzar po|a steep ascent.
28 ha ri|‡ SANST, SANST parrot.
28 'jigs pa med|SANST fearless.
28 jo lugs sgrol dkar|*\n(2A.).
28 kha gcod|cover; in Ld. cork.
28 kha lpags|= {khal pags} lip.
28 kha ras|neck-cloth; a towel.
28 khar rkyang|v. {kha rkyang}.
28 kha zer ba|SANST loquacious.
28 khe|numeral ninety-two (92).
28 'khol mo|SANST maid-servant.
28 'khur tshos|v. {khur tshos}.
28 kol|a colloq. form of {kor}.
28 ko rul|ko rul a rotten hide.
28 kug rtse|cuckoo in W. (Jä.).
28 kun la bde|happiness to all.
28 lag ber|walking-staff (Jä.).
28 lam yig|passport, road-bill.
28 lang shor|habit; habituated.
28 lcags khrol|an iron caldron.
28 ldu gu|= {gdu ba}, {gdu gu}.
28 lha mo rta|a certain insect.
28 lkog chad|secret punishment.
28 ma zlums|SANST met. the sun.
28 mchan zhabs|v. {mchan khug}.
28 mchil khra|the sparrow-hawk.
28 mchod bya|object of worship.
28 mgo skyob|= {rmog} a helmet.
28 mgul ring|SANST a long neck.
28 mkha'i zil ba|= fog (Moon.).
28 mnag pa|= {gnag pa}. (Sch.).
28 mnga' zhabs|= {mang 'bangs}.
28 mngon par rgyal|SANST pride.
28 mnye 'bol|cushion, a pillow.
28 mtha' gseb|= {mtha' yi bar}.
28 na bun bu mo|a kind of worm.
28 nges gsal|SANST elucidation.
28 ngo dkar po|a cheerful face.
28 nya tsher|fish-bones (Sch.).
28 nye tshan|relative, kinsman.
28 nyi ma phyi ma|a future day.
28 'o yo|also {'o yo}, a puppy.
28 pang pa|SANST [to abandon]S.
28 rad pa|in W. for {bgrad pa}.
28 ra sdong|the weeping willow.
28 rengs|= {klhyengs pa} SANST.
28 rgod ma|SANST, SANST a mare.
28 rgod yas|a numerical figure.
28 rje mo|SANST mistress, lady.
28 rkang shubs|socks; stocking.
28 rnam sgom|SANST; met. night.
28 rngam po che|very frightful.
28 ru pi|(in Sikk. rubi) SANST.
28 sa 'byed|SANST, SANST a hoe.
28 sa khra bo|SANST [ashamed]S.
28 sa min|(Sch.): 'white sand.'
28 sa sros|the time after dusk.
28 seng shing|for {seng ldeng}.
28 se rag dur sman|carrot in W.
28 sgal phyugs|beast of burden.
28 sgong thog pa|n. of a plant.
28 shol po|a species of willow.
28 skad log|clamour; screaming.
28 skra tsa|SANST clotted hair.
28 slan te|= {sbyar nas} (Jä.).
28 smin tshva|= {kha ru tshva}.
28 snyan lhong ba|to make dear.
28 snyi ma|for {snye ma} (Jä.).
28 snyun med|free from illness.
28 so le|fresh, well preserved.
28 spa rengs|({phag}) pig, hog.
28 spos shel|amber (Loo. {ha}).
28 spyod byed ma|SANST a woman.
28 stems|curse, cf. {byad}. (?)
28 tar bu|({smin pa}) {tsu ka}?
28 'thor byed|a parrot (Moon.).
28 'thor mtho|SANST lofty peak.
28 thu mo|lady, mistress (Cs.).
28 thu re|uninterrupted (Sch.).
28 tsan sdong|sandal-wood tree.
28 tsel po|= {tse po} a basket.
28 yu ja|a kind of Chinese tea.
28 yung ma|= {nyung ma} turnip.
28 zam zim|({grangs}) a number.
29 a ga ru'i thang|SANST, SANST.
29 an da rnyil|‡ SANST sapphire.
29 bdud kyi bdag|the arch demon.
29 be snabs|a mineral substance.
29 bkres nas|SANST being hungry.
29 'byang khyad|C. custom (Jä.).
29 bzher|= {brlon pa} SANST wet.
29 chang phog|allowance in beer.
29 ches lci ba|SANST very heavy.
29 ches mchog|SANST the supreme.
29 ches 'thung ba|to drink much.
29 chos can|SANST pious, devout.
29 chos zhog|priest-craft (Jä.).
29 chu dug|acc. to Sch. hemlock.
29 chu gzar|a large ladle (Cs.).
29 chu mdo|confluence of rivers.
29 chung sha|= {lug sha} mutton.
29 chung sug|the limbs of a kid.
29 chu yi zegs ma|v. {char zil}.
29 'di ko|this one (So-rig. 15).
29 'di rigs|these; of this kind.
29 dkar gsal|fair; white; light.
29 dngos su|in actual substance.
29 dre bo|in W. the elbow (Jä.).
29 dro 'jam|(col. tonjam) tepid.
29 'dur|thick and clammy (Sch.).
29 e red|= {e yin} or {yin nam}.
29 ga da|‡ SANST a club; a mace.
29 gal ro|in W. refuse; rubbish.
29 gang la|SANST where; in whom.
29 gnam gshed|n. of a {sa bdag}.
29 gnyen byed pa|SANST marriage.
29 gnyis po|SANST both, the two.
29 gos skud|yarn or silk thread.
29 grang ba'i gnas|a cool place.
29 'grel bshad|*\nSANST (Schr.).
29 grib lhags|cool shade (Sch.).
29 grong khyer 'jig|SANST Indra.
29 gsar nas|fresh or new barley.
29 gsod po|= {legs pa skyid pa}.
29 gtam dris pa|to make inquiry.
29 gtan gyi|constant, continual.
29 gtseng ba|= {gtsi ba} (Sch.).
29 gye gor|n. of a Bon-po deity.
29 'gyod zin pa|having repented.
29 gyur du zin|= {gyur du chug}.
29 g.yu rung|for {g.yung drung}.
29 gzha' tshon|= {'ja'} rainbow.
29 gzhe ra|parsley in C. colloq.
29 gzhi bo|+\n= {gzhi ma} basis.
29 ha po|n. of a medicinal herb.
29 heg po|stale, putrid, rancid.
29 kha 'dig|cork, bung, stopple.
29 khan man|modest in Lh. (Jä.).
29 khol bu|a bit; a small piece.
29 khrang|(thang), v. {mkhrang}.
29 khri le ba|fear, in C. (Jä.).
29 'khrul 'khor mkhan|a juggler.
29 khum|({khums}) crooked (Jä.).
29 khyi mdud pa|pairing of dogs.
29 klu dug can|poisonous snakes.
29 krin nad|(tin-ne') the colic.
29 kun nas 'gro|SANST communion.
29 kyol|or {kyol kyol} = {kyor}.
29 lam bde ma|a good, easy road.
29 lcag yu|the handle of a whip.
29 lto ras|handkerchief, napkin.
29 ma ka ra|‡ SANST a crocodile.
29 mchog tu ring ba|very remote.
29 me ri|fire mountain, volcano.
29 mgo bsnyung|SANST stiff-neck.
29 mgon po zhal bzhi|*\n(Schr.).
29 mgon po zhal gcig|*\n(Schr.).
29 mgrin pa can|peaked mountain.
29 mi gzhig|= {rtag pa} (Moon.).
29 mi nyed pa|SANST [crushing]S.
29 mi rtsom pa|SANST inactivity.
29 mi stes pa|+\n= {ma legs pa}.
29 mkha' gos can|clouds (Moon.).
29 mthas gtugs pa|n. of a place.
29 mun sro|furiousness, passion.
29 mu ran|= {mtha' bskor} SANST.
29 nags ldan|SANST [a peacock]S.
29 ngag byed|SANST; the speaker.
29 nga kho na|I myself; I alone.
29 ngar snabs|mucus of the nose.
29 nyag mo|acc. to Sch. a woman.
29 nyag nyig|filth, dirt (Sch.).
29 nyams rtsal|skill; dexterity.
29 nyan pa mo|a female listener.
29 nya rgya|SANST a fishing net.
29 nye bar 'khyud|SANST devotee.
29 nye mkhon|= {nye ring} (Cs.).
29 nyer byung|SANST origination.
29 nye tshe ba|SANST provincial.
29 nyi ma shar ba|SANST sunrise.
29 'od zhugs|= SANST [the sun]S.
29 ong log|the ptarmigan (Sch.).
29 'phob pa|= {'bebs pa} (Sch.).
29 'phyen|v. {phyen} flatulence.
29 phyol yas|a numerical figure.
29 rde|in compounds for {rde'u}.
29 re re|singly; each......each.
29 rgya byin gzhu|SANST rainbow.
29 rgya lam|high road, main way.
29 rked 'chu|SANST the buttocks.
29 rked pa phra|a slender waist.
29 rnam snang byed|met. the sun.
29 rta pa'i dpung|cavalry (Cs.).
29 rtsegs pa|SANST row, stratum.
29 rus tshad|or {rus tshod} (?).
29 sa bon nyams|SANST fruitless.
29 sam dal|Ld. moustaches (Jä.).
29 sbod pa|a tassel, tuft (Jä.).
29 sbrang byi|the marten (Sch.).
29 se 'bu|a bad-smelling insect.
29 sen mo'i gar|as met. peacock.
29 sgra ldar|sounding; sonorous.
29 sgra tsam|SANST only a voice.
29 she rul|fetid, putrid (Sch.).
29 shul byi|the Tibetan polecat.
29 si ri 'bu|centipede W. (Jä.).
29 skabs 'byed pa|SANST leisure.
29 skem byed ma|n. of a goddess.
29 skyog nag|iron spoon or scoop
29 skyur can|powerful; spirited.
29 smye pa|ƒè-ý- +\n= {zhen pa}.
29 smyugs|ƒç#<- +\n= {bcug nas}.
29 sna babs|the glanders (Sch.).
29 snang shas|thoughts, fancies.
29 sngon nas|form a former time.
29 sngo tshod|vegetables; herbs.
29 snyag pa|col. for {snyeg pa}.
29 snyan grags|fame, reputation.
29 srog med|lifeless, inanimate.
29 srubs byed|SANST the churner.
29 stag shar|a full grown youth.
29 thad drang na|directly ahead.
29 thags snal ma|thread or yarn.
29 thugs mug|= {yi mug} despair.
29 thun tshegs|= {phran tshegs}.
29 tshe skabs|SANST; v. {skabs}.
29 wa si|a kind of apple (Sch.).
29 yegs pa|rough, shaggy, hairy.
29 yongs 'dud|SANST met. a tree.
29 yul yod pa|= {yul can} (Cs.).
29 ze ba|SANST a precious stone.
30 ba brgya|SANST a spider's web.
30 bde 'jags|prosperity, welfare.
30 bka' phrin|(ka-tin) a message.
30 blo ba|SANST wisdom (S. Lex.).
30 'bo ja|a kind of tea (Rtsii.).
30 bong gu|colloq. for {bong bu}.
30 bong khra|a species of falcon.
30 brag shig|a rock-mite or tick.
30 brdog pa|= {bzas pa} eaten up.
30 brjes pa|pf. of {brje ba} q.v.
30 brnyas smad|scorn and slander.
30 brtsags pa|+\n= {sdig pa} sin.
30 brtum pa|SANST power, prowess.
30 bsrung mdzad|a guard, watcher.
30 bur shing|for {bu ram shing /}
30 'byang rtsi|gum, glue (Moon.).
30 bye shel|sugar and sugarcandy.
30 byin lan|SANST thank-offering.
30 bza' med|ill-fed, lean (Mil.).
30 bzang po drug|v. sub. {bzang}.
30 cha 'dra tsam|v. {cha snyoms}.
30 chag dum|fragment, scrap, bit.
30 chag rgyag pa|to doubt (Sch.).
30 'chams|SANST a dance, dancing.
30 chang gis g.yengs|to be drunk.
30 char gyi zegs ma|= {char zil}.
30 cha ri si|nya ga a steel-yard.
30 cha shas byed|SANST particles.
30 ches chung ba|SANST much less.
30 chibs thur|horse's head-piece.
30 'ching pa|SANST bond, binding.
30 chos rgyal gsang sgrub|(80 C).
30 chu'i sgur 'khyog|SANST a pig.
30 chu skyod|SANST met. the neck.
30 chu zem|SANST water-tub (Jä.).
30 dan da|n. of a medicinal herb.
30 'dar bu|SANST ague, throbbing.
30 dar dhi|‡ v. {ku sha} (Moon.).
30 de 'og|SANST then, thereafter.
30 dgag phye|v. {dgag dbye byed}.
30 dgrad pa|(da-pa) SANST spread.
30 dgung zhag|a day's halt; halt.
30 ding 'ur|SANST a sound, noise.
30 dor byed ma|= {dur byid sman}.
30 'dum khra|agreement, contract.
30 'dzam bur|a gun, cannon (Jä.).
30 dza yi phal|= {dza ti} nutmeg.
30 'dzeng|whet-stone, hone (Jä.).
30 'dzob brdung|= {brdung 'dzog}.
30 gang dag nyid|SANST whichever.
30 gel shing|SANST a log; a post.
30 gla gor zho sha|n. of a fruit.
30 glang shu|a kind of sore-hoof.
30 gnyis brgyud|= {zangs} copper.
30 gral skyong ba|SANST a shadow.
30 gre ga|a sheet of paper (Jä.).
30 gri gug|a short crooked sword.
30 gri non|SANST n. of a disease.
30 grogs 'dris|mutual friendship.
30 grong yul|country place (Jä.).
30 gsal me|lamp, candle (Rtsii.).
30 gser 'gyur mkhan|an alchemist.
30 gser tog|golden badge, button.
30 gsor ba|to brandish, flourish.
30 gun po|in Ld. expensive; dear.
30 gyen bzlog pa|SANST, to vomit.
30 g.yengs byed|SANST fig. a pig.
30 gyes|= {sa sor}, v. {'gye ba}.
30 gyig|caoutchouc; India rubber.
30 g.yul las|= {ston las} (Oag.).
30 gzing|for {'dzings pa} (Glr.).
30 hon hon|stupid, foolish (Cs.).
30 hor khongs|deficiencies, gaps.
30 'jug bya|1. road. 2. dwelling.
30 'jug par byed pa|to undertake.
30 khab le|in W. difficult (Jä.).
30 kha 'phrod po|v. {kha dro bo}.
30 'khar zangs|a metallic kettle.
30 kha sral chung ngu|SANST deaf.
30 kha zhes|food, victuals (Cs.).
30 khog chud|for {khong du chud}.
30 'khor legs pa|good attendants.
30 khrel gad|a scornful laughter.
30 khyab 'dod|wishing everything.
30 kIng kang|v. {kang dang king}.
30 kong mo|SANST a cave; a ditch.
30 lam shog|way bill, a passport.
30 ldam ldum|mean, pitiful (Cs.).
30 lhug|v. {ldug pa} to pour out.
30 lkob|fat, heavy, plump (Sch.).
30 lkol mdud|= {'ol mdud} larynx.
30 lta byed|met. the eye (Moon.).
30 ma bcos pa|SANST (dry ground).
30 man shel|SANST crystal; glass.
30 mchig skor ba|to grind (Sch.).
30 mchis mal|bed, bedstead (Cs.).
30 mchod sbyin lhag|SANST nectar.
30 mchog 'dod|SANST met. the sun.
30 me zhal lam|as met. = the sky.
30 mgrin pa'i rlung|SANST breath.
30 mi 'gyur|unchangeable, steady.
30 min da|for {mi zla} help-mate.
30 mkhan bu|pupil, scholar (Jä.).
30 mkhun pa|(Sch.), v. {khun pa}.
30 mkhyen brtse|omniscient mercy.
30 mor|termin. of {mo} = {mo la}.
30 mtha' can|SANST met. a branch.
30 ngang pa|SANST the male goose.
30 ngo ma|the original. v. {ngo}.
30 nor bu'i 'od|n. of a mountain.
30 nu tog|the nipple of the teat.
30 nya ga|or {nyag} a steel-yard.
30 nya khrar|a kind of brick tea.
30 nyam chung|SANST weak, feeble.
30 nyams po|SANST injury, damage.
30 nyer bskyod|SANST suitability.
30 nyi ma snga dro|early morning.
30 nyod pa|+\n= {zas} SANST food.
30 pad ma'i gdan can|SANST Indra.
30 pa spa lI|‡ SANST long pepper.
30 phra ma'i nad|n. of a disease.
30 phun chag|bundle, tuft (Glu.).
30 phyag 'khur|W. = {phyag rten}.
30 'phyar pa|SANST [sprinkling]S.
30 phyis bu|+\n= {snod} a vessel.
30 po tog|v. {mtho po tog} (Jä.).
30 pug ma|in Purig = collar-bone.
30 rga lo|*\n(Schr.; Ta. 2, 252).
30 rgyal rabs|genealogy of kings.
30 rgyal rong|v. {rgyal mo rong}.
30 rkang pa 'theng po|SANST lame.
30 rkang shing|treadle of a loom.
30 rla|sometimes for {bla} (Jä.).
30 rnal 'gongs|SANST [crossing]S.
30 rnga mu kun da|a kind of drum.
30 rten ma|prop. support, pillar.
30 sa skor|tour, travel, journey.
30 sas|= {sa yis} instr. of {sa}.
30 sbar yas|SANST n. of a number.
30 sgo lo|1. body. 2. face (Jä.).
30 sgrogs zhum|(dog-shum) scream.
30 shan ja|a kind of Chinese tea.
30 sha pos|a thick blanket in Ld.
30 sha zug|or {sha gzug} = {zug}.
30 shug gu|colloq. for {shog bu}.
30 si tha|SANST [the date tree]S.
30 skam pag|dry, flour of barley.
30 skang sha|sods cut out (Sch.).
30 skor thag|the cord of a lathe.
30 skra tshogs|v. {skra} (Moon.).
30 skyeg|= keg or kag misfortune.
30 skyes pa dar ma|full: manhood.
30 sle mig|a distorted eye (Cs.).
30 smo smo|SANST mother's mother.
30 spribs pa|to be hungry (Sch.).
30 spyi sgos|general and special.
30 spyong ba|= {dpyang ba} (Jä.).
30 sri'u nag|mulberry tree (Jä.).
30 srung ba pa|a guard, a keeper.
30 stong cha|SANST empty, vacant.
30 stun shing|SANST an iron-club.
30 thags thogs|impediments (Cs.).
30 thal|SANST the trumpet flower.
30 thams cad pa|SANST, SANST all.
30 tha snyad dbye|SANST a writer.
30 thing shing|SANST n. of a dye.
30 tshigs ro|= {tshigs ma} (Jä.).
30 tshig tha dad|SANST [answer]S.
30 tsi stag|a purgative medicine.
30 'ug sings|v. {sings po} (Jä.).
30 yid myos|fuddled, tipsy (Jä.).
30 zhag po|in C. colloq. = a day.
30 zhal po|= {dkar yol} (A. 156).
30 zhe nag pa|in C. a blackguard.
30 zhom pa|= {sna zhom pa} SANST.
31 al gcig|the one half of a pair.
31 ba 'bog|W. clod, lump of earth.
31 bar lag pa|a go-between, agent.
31 bgyis|SANST, SANST a deed, act.
31 bka' phebs|a great man's order.
31 'breng ba|frq. for {'brang ba}.
31 brim|or {brims}, v. {'brim pa}.
31 brjod do|SANST said, described.
31 'brug g.yas|SANST [agitation]S.
31 bse mo|SANST species of weasel.
31 bstan yas|SANST n. of a number.
31 byi dar|a silk stuff (Vai. so).
31 byub|an abbrv. of {byang chub}.
31 bzan|for {zan} food of animals.
31 bzang khyi|the Tibetan lap-dog.
31 cha bdag skyes|v. {chang} wine.
31 cha ma 'dra ba|v. {cha snyoms}.
31 char phobs|SANST to cause rain.
31 che ge|SANST a garland, wreath.
31 chu srol|dried-up bed of river.
31 ci'ang|= {ci yang} (Situ. 125).
31 ci yod|SANST what has happened?
31 co ni|n. of a district in Amdo.
31 da cha|in future, henceforward.
31 dar dmang pa|raw-silk (Schtr.).
31 dbang sngon|SANST the sapphire.
31 de mo|+\n= {dgos pa} necessity.
31 dge ltas|propitious prognostic.
31 dgun sa|SANST winter residence.
31 dngul dul ma|silver-ink (Sch.).
31 'dod pa'i rim|SANST lust-fever.
31 dpal gyi bu|met. horse (Moon.).
31 dpon tshang|physician (Schtr.).
31 'dre ldog|SANST [a plunderer]S.
31 dur sgam|or {dur sgrom} coffin.
31 dus ring po|SANST long delayed.
31 gab sgra|a belch (in W.) (Jä.).
31 gangs 'bab|avalanche; it snows.
31 gcig chog|all-sufficient (Jä.).
31 glo rdog|glo bur sudden (Oag.).
31 glu chung|a little song; ditty.
31 go cha'i rnam snang|*\n(19 C.).
31 gog|in W. for {gong po} a lamp.
31 'gram rus|cheek-bone; jaw-bone.
31 gri gu chung|SANST small knife.
31 gri'i so|sharp edge of a knife.
31 gsal 'os|SANST explicit, clear.
31 gser shog|leaf-gold, gold-foil.
31 gshang ba|= {bshang ba} (Sch.).
31 gsol ngan|poisoned food (Glr.).
31 gti khe|a kind of louse (Sch.).
