ka|1
skad snyan pa|83?
skad snyan ma|83?
skad bsnyan|83?
skad ster ba|83?
skad mthun par|83?
skad dod|83?
skad gdangs dma' ba|83?
skad 'don|83?
skad pa|83?
skad pa che|83?
skad po che|83?
skad 'byin|83?
skad sbyangs shig|83?
skad mi gsal|83?
skad rigs chen po bzhi|83?
skad ring|83?
skad lugs|83?
skad legs ma|83?
skad log|83?
skan te|84
skab|84?
skabs|84?
skabs gnyis pa|84?
skabs don|84?
skabs 'di la|84?
skabs phye na|84?
skabs 'byed pa|84?
skabs la babs pa|84?
skabs gsum btung ba|84?
skabs gsum gnas|84?
skabs gsum pa|84?
skabs gsum dbang|84?
skabs gsum mtshon cha|84?
skam|85
skam glog|85?
skam chas|85?
skam thal|85?
skam thug|85?
skam dras|85?
skam pa|85?
skam pag|85?
skam po|85?
skam phogs|85?
skam las skye ba|85?
skam bshad|85?
skams pa|85?
skar khung|85?
skar khongs|85?
skar mkhan|85?
skar lcag|85?
skar chu|85?
skar mda'|85?
skar mda'i gdong ngam sna|85?
skar dpyad|85?
skar phran|85?
skar 'phreng|85?
skar ba|86
skar ma|86
skar ma stod phur|87
skar ma 'tshe|87?
skar ma'i dpyod|87?
skar mig bu|87?
skar 'dzin|87?
skar 'od|87?
skar yum|87?
skal ngan|87?
skal can ma|87?
skal ldan|87?
skal ldan shing rta|87?
skal ldan shing rta'i bu mo|87?
skal pa|87
skal pa can|87?
skal pa che|87?
skal pa mnyam pa|87?
skal pa bzang po|87?
skal 'phar|87?
skal ba|88
skal ba chad pa|88?
skal bzang|88?
skal rin|88?
skas|88?
skas skor khra ma|88?
skas gdang bu|88?
skas tshang|88?
skas leb|88?
sku|88
sku skal|89
sku skem|89?
sku khams|89?
sku gam ngo bcar|89?
sku bgegs chags|89?
sku rgyu|89?
sku rgyud|89?
sku lnga rgyal po|89?
sku bcar|89?
sku bcar mo|89?
sku chas|89?
sku chos|89?
sku mched|89?
sku gnyer|89?
sku mnyed|89?
sku brnyan|89?
sku rten|89?
sku bltams|89?
sku thog|89?
sku drung pa|90
sku gdung|90?
sku 'dra|90?
sku ldem pa|90?
sku na|90?
sku bub|90?
sku 'bum|90?
sku smad|90?
sku tsha|90?
sku tshab|90?
sku tshe stod|90?
sku mtshal|90?
sku zhabs|90?
sku gzan|90?
sku gzugs bde|90?
sku yi babs dang bstun|90?
sku yi zo mdog|90?
sku rags|90?
sku ring|90?
sku rim|90?
sku ru|91
sku ru kha|91?
sku lus|91?
sku sha 'byor po|91?
sku gshegs pa|91?
sku gshen|91?
sku sras brgyad|91?
sku gsung thugs|91?
sku gsum|91?
sku gseng|91?
sku bsrungs|91?
skugs|91?
skung ba|91?
skungs sa|91?
skud|92
skud pa'i 'bu|92?
skud po|92?
skun bu|92?
skub|92?
skum pa|92?
skur pa|92?
skur ba|92?
skur ba 'debs pa|92?
skul mkhan|92?
skul rgyu|92?
skul ba|92?
skul byed|92?
skul tshig|92?
ske|93
ske stong|93?
ske tse|93?
ske tshang|93?
ske rags|93?
skeg|93?
skeg tshos|93?
skeng lungs|93?
sked dkar|93?
sked 'jigs|93?
sked pa|93?
sked ma|93?
skem nad|93?
skem pa|93?
skem byed|93?
skem byed dkar po|93?
skem byed ma|93?
skem byed sha za|93?
skems pa|93?
skems pa'i sbrebs pa|93?
sker|93?
sker leb sgur|94
sko sko|94?
sko ba|94?
sko tse|94?
skogs|94?
skong|94?
skong ba|94?
skongs shig|94?
skon pa|94?
skobs|94?
skom|94?
skom skyur|94?
skom dad|94?
skom nas|94?
skom sha|94?
skoms pa|94?
skor|95
skor mkhan|95?
skor 'go|95?
skor rgyugs|95?
skor thag|95?
skor thang|95?
skor thig|95?
skor pa|95?
skor ba|95?
skor tsher|96
skor res|96?
skor lam|96?
skor log pa|96?
skor shing|96?
skol ba|96
skos pa|96?
skya|96?
skya ka|96?
skya skya|96?
skya rgyab pa|96?
skya chen|96?
skya nyil|96?
skya tha le|96?
skya thud|96?
skya thud leb|96?
skya thum|96?
skya thom me ba|96?
skya nar|96?
skya nar khra bo|96?
skya nar gyi bu|96?
skya nar ldan ma|96?
skya ba|97
skya ba 'dzin|97?
skya bag|97?
skya bo|97?
skya bo spyi|97?
skya ma|97?
skya ma na kha|97?
skya rtsa|97?
skya rtse|97?
skya ris|97?
skya reng|97?
skya rengs nu bo|97?
skya lan|97?
skya leb|97?
skya seng|97?
skya seng gi bu|97?
skya ser|97?
skya lham|97?
skyag pa|98
skyag po|98?
skyang|98?
skyang nul|98?
skyangs|98?
skyabs|98?
skyabs mgon|98?
skyabs mgon sbug|98?
skyabs sgron|98?
skyabs bcol|98?
skyabs bcol sa|98?
skyabs 'jug|98?
skyabs 'jug zhu ba|98?
skyabs gnas|98?
skyabs gnas rgya chen|98?
skyabs pa|98?
skyabs bya|98?
skyabs byed|98?
skyabs byed pa|98?
skyabs 'os|98?
skyabs su 'gro ba|98?
skyabs sems|98?
skyam phu|99
skyar gog|99?
skyar bcag|99?
skyar po|99?
skyar ba|99?
skyar rbab|99?
skyar mo|99?
skyar leb|99?
skyal|100
skyal kha|100?
skyal gyis sgrol|100?
skyal chen|100?
skyas|100?
skyas ma|100?
skyi|100?
skyi dkar|100?
skyi khung|100?
skyi mkhar lha khang|100?
skyi sgam|100?
skyi bstums|100?
skyi nag|100?
skyi lpags|100?
skyi ba|100?
skyi bung|100?
skyi bun|100?
skyi g.ya'|100?
skyi sha|100?
skyig pa|100?
skying khab|101
skying ser|101?
skyid grong|101?
skyid glu|101?
skyid mgo|101?
skyid chu|101?
skyid ches|101?
skyid thabs|101?
skyid dar|101?
skyid lde nyi ma mgon|101?
skyid sdug|101?
skyid pa|101?
skyid zing nge|101?
skyid shod|101?
skyid lhan|101?
skyin|101?
skyin gor|101?
skyin thang|101?
skyin pa|101?
skyin po|101?
skyin mi|101?
skyin tshab|101?
skyibs|102
skyim|102?
skyil krung|102?
skyil ba|102?
skyil mo krung|102?
skyu gang|102?
skyu ra sgang|102?
skyu ru|103
skyu ru ra|103?
skyu rum|103?
skyug nyes pa|103?
skyug ldad|103?
skyug pa|103?
skyug bro ba|103?
skyug sman|103?
skyug log pa|103?
skyugs po|103?
skyung ba|103?
skyud pa|103?
skyur khu|103?
skyur gong|103?
skyur ngom|103?
skyur can|103?
skyur 'jug pa|103?
skyur tum|103?
skyur pa|103?
skyur ba|104
skyur byed gsum|104?
skyur ma|104?
skyur mo|104?
skyur rtsi|104?
skyur rtsi chung|104?
skyur rtsi chen po|104?
skyur shing|104?
skyus|104?
skye|105
skye dgu|105?
skye dgu'i bdag po|105?
skye 'gro|105?
skye 'gro yongs kyi mdog gsal|105?
skye rgas|105?
skye sgo|105?
skye ngan|105?
skye mched|105?
skye mched mu bzhi|105?
skye 'chi med pa|105?
skye ldan|105?
skye ldum|105?
skye gnas|105?
skye gnas mtshungs pa|105?
skye ba|106
skye ba rgyal|106?
skye ba rgyun gcod|106?
skye ba lnga pa|106?
skye ba snga|106?
skye ba mthun pa|106?
skye ba dang 'jig pa|106?
skye ba dran pa|106?
skye ba bdun|106?
skye ba 'di la|106?
skye ba spel|106?
skye ba phyi ma|106?
skye ba phra mo|106?
skye ba gzhan|106?
skye ba rig pa|106?
skye ba'i cha can|106?
skye ba'i lam ster|106?
skye bas 'thob|106?
skye bo|107
skye bo bkres pa|107?
skye bo ngan pa|107?
skye bo dam pa|107?
skye bo gnas pa|107?
skye bo phal po che'i phan pa|107?
skye bo tshan po che|107?
skye bo gso thig|107?
skye bo'i gtam|107?
skye bo'i tshogs|107?
skye bo'i tshogs can|107?
skye bos bskur ma|107?
skye bos dben pa|107?
skye med btsan sa zin pa|107?
skye rmongs|107?
skye tshe|107?
skye zla|107?
skye rags|107?
skye shing|107?
skye ser gyi rlung|107?
skye srid sa bon|107?
skyeg|108
skyegs|108?
skyeng ba|108?
skyeng ser rlung|108?
skyengs pa med|108?
skyed|108?
skyed sgo|108?
skyed can|108?
skyed cig|108?
skyed pa|109
skyed 'phel|109?
skyed byed|109?
skyed ma|109?
skyed tshal|109?
skyed rim|109?
skyen|109?
skyen pa|109?
skyen la|109?
skyem pa|110
skyem byed ma|110?
skyem shog|110?
skyems|110?
skyems chang|110?
skyems stong rdzong|110?
skyems tshug|110?
skyems bzang|110?
skyems gsol|110?
skyer skya|110?
skyer skyer|110?
skyer kha|110?
skyer chu|110?
skyer pa|110?
skyer dman|110?
skyer shing|110?
skyel gyur|110?
skyel thung|110?
skyel ba|111
skyel ma|111?
skyel mi|111?
skyes|111?
skyes sgra can|111?
skyes nges|111?
skyes chen|111?
skyes chen sgrub gnas|111?
skyes chen dam pa|111?
skyes mchog|111?
skyes ldan|111?
skyes sdong|111?
skyes nag|111?
skyes pa|112
skyes pa dar ma|112?
skyes pa 'brus phyung pa|112?
skyes pa'i rgyu skar|112?
skyes spor|112?
skyes phan|112?
skyes ba rgyal|112?
skyes bu|113
skyes bu skyes mchog|113?
skyes bu can|113?
skyes bu mchog|113?
skyes bu mtho|113?
skyes bu nag po|113?
skyes bu pho|113?
skyes bu 'bring|113?
skyes bu'i 'khrugs pa|113?
skyes bu'i ngos|113?
skyes ma|113?
skyes ma thag|113?
skyes ma thag pa|113?
skyes dman|113?
skyes rdzongs|113?
skyes gzugs|113?
skyes rabs|113?
skyes so cog|113?
skyo|114
skyo 'gyed|114?
skyo nges|114?
skyo ngogs|114?
skyo ba|114?
skyo bran|114?
skyo ma|114?
skyo ma can|114?
skyo med|114?
skyo med khyab|114?
skyo tshag|114?
skyo ras tsho tshogs|114?
skyo rogs|114?
skyo shas|114?
skyo sangs|114?
skyo sangs nyid|114?
skyo sangs gnas|114?
skyog nag|115
skyogs|115?
skyogs lto 'bu|115?
skyogs pa|115?
skyogs med|115?
skyong ldan ma|115?
skyong ba|115?
skyong byed ma|115?
skyod pa|116
skyod byed|116?
skyon|116?
skyon skye|116?
skyon ngag|116?
skyon can|116?
skyon bco brgyad|116?
skyon brjod pa|116?
skyon du 'grang ba|116?
skyon nas smra ba|116?
skyon gnad med pa|116?
skyon pa|117
skyon med rtog|117?
skyon med gnas|117?
skyon tshig|117?
skyon 'dzin|117?
skyon shes|117?
skyon shes pa|117?
skyon sel ba|117?
skyob ston|117?
skyob pa|117?
skyobs|118
skyobs byed|118?
skyom pa|118?
skyor|118?
skyor skyor|118?
skyor ba|118?
skyor sbyangs|118?
skyor mo lung|118?
skyor tshig|118?
skyol ba|118?
skyos pa|118?
skyos ma|118?
skra|118
skra mkhan|119
skra can|119?
skra can gnas|119?
skra can ma|119?
skra can gsod|119?
skra gnyis pa|119?
skra mdud|119?
skra 'dres ma|119?
skra gnas|119?
skra 'bal ba|119?
skra med mgo|119?
skra tsal|119?
skra tshogs|119?
skra mtshams|119?
skra zings|119?
skra bzang|119?
skra bzang ma|119?
skra li ba|119?
skra lo|119?
skra shad|119?
skrag skrag|120
skrag pa|120?
skrag byed ma|120?
skrang ba|120?
skrang 'bur|120?
skrangs kyi spyang ki|120?
skrangs po|120?
skran|120?
skrab pa|120?
skra'i rgyal po|120?
skra'i byi dor|120?
skra'i rtse mo'i mtha'|120?
skras ka|120?
skri ba|120?
skru ba|120?
skrud pa|120?
skrun pa|120?
skrum|120?
skrog|121
skrog pa|121?
skrod pa|121?
brkam chags|121?
brkus|121?
brko spyod|121?
brkos ma|121?
brkyang shing|121?
brkyangs|121?
bska ba|121?
bskang mdos|121?
bskang rdzas|121?
bskang gso|121?
bskangs|121?
bskam|121?
bskams|121?
bskal pa|121?
bskal pa bzang|121?
bskal pa shes|121?
bskal me|121?
bskal bzang|121?
bsku|121?
bskungs|121?
bskum|121?
bskum khru|121?
bskum mkhyid|121?
bskum 'dom|121?
bskur|121?
bskul|121?
bskul gzhung|121?
bskus|122
bskon|122?
bskor|122?
bskos|122?
bskyang du med|122?
bskyangs|122?
bskyabs|122?
bskyams|122?
bskyar|122?
bskyar bzo|122?
bskyur|122?
bskyur du bcug pa|122?
bskyed 'dod|122?
bskyed pa|122?
bskyed rim|122?
bskyod nas|122?
bskyod pa|122?
bskyod pa yang ma|122?
bskyod med pa|122?
bskrad|122?
bskrun|122?
bskrus|122?
kha|123
kha kyel ba|124
kha krab pa|124?
kha dkar po|124?
kha dkri|124?
kha lkug|124?
kha skad|124?
kha skong|124?
kha skor ba|124?
kha skyur pon|124?
kha skyengs|124?
kha kha|124?
kha khebs|124?
kha khor|124?
kha khyag|124?
kha khyag pa|124?
kha khyer|124?
kha khra|124?
kha khram|124?
kha khram pa|124?
kha khral|125
kha 'khor|125?
kha 'khyoms|125?
kha ga po|125?
kha ga ma|125?
kha gang|125?
kha gang dgar smra ba|125?
kha gab|125?
kha gyen phyogs|125?
kha grangs|125?
kha gru|125?
kha gling|125?
kha gling sgra|125?
kha 'gog pa|125?
kha 'gyur ba|125?
kha 'grig pa|125?
kha 'gril|125?
kha rgan|125?
kha rgod|125?
kha rgyan|125?
kha rgyal ba|125?
kha rgyug|125?
kha rgyud|125?
kha sgor|125?
kha sgyur ba|125?
kha sgrog|125?
kha bsgos|126
kha lnga pa|126?
kha snga ba|126?
kha cig|126?
kha cul|126?
kha gcang|126?
kha gcod|126?
kha bcud|126?
kha bcol|126?
kha chag|126?
kha chad|126?
kha char|126?
kha chings|126?
kha chu|126?
kha chu phug|126?
kha che|126?
kha che skyes|126?
kha che 'gron khang|126?
kha chems|126?
kha chos|126?
kha 'cham|126?
kha 'chal|126?
kha 'che ba|126?
kha 'jam gting khag|126?
kha 'jal ba|126?
kha 'jug pa|126?
kha rje|127
kha rje khyu mchog|127?
kha rje can|127?
kha rje che|127?
kha nyan pa|127?
kha nyung|127?
kha nyog|127?
kha mnyam|127?
kha rnying|127?
kha snyoms|127?
kha brnyongs|127?
kha ta|127?
kha tam ga|127?
kha tig|127?
kha to shing|127?
kha ton|127?
kha gtad pa|128
kha gtam|128?
kha gtugs pa|128?
kha gtong ba|128?
kha btags|128?
kha stan|128?
kha steng du|128?
kha stong|128?
kha stoms rgyab pa|128?
kha thal|128?
kha thal ba|128?
kha thi|128?
kha thug|128?
kha thog|128?
kha thor|128?
kha mthun|128?
kha mthun pa|128?
kha 'thab|128?
kha 'then btang ba|129
kha 'thor pa|129?
kha dag|129?
kha dig|129?
kha dug can|129?
kha dum pa|129?
kha dul po|129?
kha dog|129?
kha dog dkar po|129?
kha dog ngan pa|129?
kha dog chen po|129?
kha dog lta bu|129?
kha dog mtha' yas pa|129?
kha dog sna tshogs|129?
kha dog pa|129?
kha dog gsum pa|129?
kha drag|129?
kha drang|129?
kha dro|129?
kha dro bo|129?
kha gdangs pa|129?
kha mdog|129?
kha 'dar|129?
kha 'dig|129?
kha 'debs|129?
kha 'don|129?
kha 'don byed pa|129?
kha rda|129?
kha sdams|129?
kha sdom pa|129?
kha brda|129?
kha brda'|129?
kha na ma tho ba|130
kha nag po|130?
kha nang|130?
kha nad|130?
kha nar can|130?
kha nas|130?
kha ning|130?
kha nim|130?
kha nog|130?
kha nor song|131
kha mnan pa|131?
kha pa|131?
kha po|131?
kha po che|131?
kha lpags|131?
kha spu|131?
kha pho|131?
kha phog|131?
kha phor|131?
kha phyi|131?
kha phyin pa|131?
kha phyir lta|131?
kha phyis|131?
kha phye ba|131?
kha phyogs|131?
kha 'phang ba|131?
kha 'phyur|131?
kha 'phrod po|131?
kha ba|131?
kha ba dkar po|131?
kha ba ri pa|131?
kha bad|132
kha bar byed|132?
kha bu|132?
kha byang|132?
kha bye ba|132?
kha brag|132?
kha bral|132?
kha dbang|132?
kha dbrag|132?
kha 'bar ma|132?
kha 'bu ba|132?
kha 'bub tu nyal ba|132?
kha 'bus pa|132?
kha 'bri ba|132?
kha sbyang|132?
kha sbyar|132?
kha sbyor|132?
kha sbyor thig le|132?
kha sbyor bdun ldan|132?
kha ma 'cham|132?
kha ma phye ba|132?
kha ma bye|132?
kha mi shes pa|132?
kha mur|132?
kha med|132?
kha mo|132?
kha dmar|133
kha rtsang|133?
kha rtsod|133?
kha tsha|133?
kha tshar|133?
kha tshub|133?
kha tsho|133?
kha tshod|133?
kha tshon|133?
kha mtshul|133?
kha 'tshangs pa|133?
kha 'tshog|133?
kha 'dzin|133?
kha 'dzin byed pa|133?
kha 'dzin gsum|133?
kha 'dzum pa|133?
kha zhan|133?
kha zhur|133?
kha zhe|133?
kha zheng|133?
kha zhen|133?
kha zhes|133?
kha zam|134
kha zas|134?
kha zum pa|134?
kha zur|134?
kha zer ba|134?
kha gzar|134?
kha gzi|134?
kha bzang|134?
kha 'og|134?
kha ya|134?
kha yig|134?
kha yel|134?
kha yog|134?
kha g.yel|134?
kha g.yogs|134?
kha ra|134?
kha rag|135
kha ras|135?
kha ri|135?
kha ru tshwa|135?
kha re skyengs|135?
kha reg pa|135?
kha ro|135?
kha rog|135?
kha rog pa|135?
kha rlangs|135?
kha la me 'bar|135?
kha la reg pa|135?
kha la sla te don la dka'|135?
kha lan|135?
kha las byung|135?
kha lin pa|135?
kha le|135?
kha leb|135?
kha lo|135?
kha lo sgyur pa|135?
kha lo pa|135?
kha log pa|135?
kha sha|136
kha shags|136?
kha shas|136?
kha shugs can|136?
kha shob|136?
kha shor|136?
kha shol ba|136?
kha gshags|136?
kha bshad|136?
kha sag|136?
kha sang|136?
kha sangs|136?
kha si|136?
kha sing|136?
kha sub|136?
kha sur|136?
kha so|136?
kha sral chung ngu|136?
kha slob|136?
kha gsag|136?
kha gsar|136?
kha gsal|136?
kha gso|136?
kha bsag|136?
kha bsre ba|136?
kha bslus|136?
kha hrag|136?
kha lhag|136?
khag|137
khag po|137?
khang gnyer|138
khang steng|138?
khang thog|138?
khang pa|138?
khang pa bkra ba|138?
khang pa btsan po|138?
khang pa brtsegs pa|138?
khang pa g.yo|138?
khang pa'i nang|138?
khang bu|138?
khang mig|138?
khang rtsa|138?
khang brtsegs|138?
khang zhabs|138?
khang zhing|138?
khang bzang|138?
khang bzo ba|138?
khangs pa|138?
khad|138?
khad kyis|138?
khad pa|139
khan|139?
khan da|139?
khan pa|139?
khan man|139?
khab|139?
khab btsun ma|139?
khab ral|139?
khab le|139?
khab len rdo|139?
khab long|139?
khva|139?
khva skrod nus pa|139?
khva ta|139?
khabs|139?
kham|139?
kham kham|140
kham khum|140?
kham gang|140?
kham star|140?
kham ldog|140?
kham pa|140?
kham phor|140?
kham 'phro mi bcad pa|140?
kham bu|140?
kham g.yag|140?
kham ran pa|140?
kham sa|140?
kham sang|140?
kham ser|140?
khams|141
khams chen po|141?
khams brtas pa|141?
khams bde|142
khams bde dri smed|142?
khams bde ba|142?
khams ldog pa|142?
khams sna tshogs mkhyen pa'i stobs|142?
khams mi nyag|142?
khams mi 'dra ba|142?
khams tshan|142?
khams sas|142?
khams su gtogs pa|142?
khams slang|142?
khams sle|142?
khams gsum|142?
khams gsum 'khor los bsgyur|142?
khams gsum zangs khang gling|142?
khams gsum la ma chags pa|142?
khams gsos par|142?
kha'i nyin|142?
khar|142?
khar bkrol|142?
khar gong|142?
khar chen bza'|142?
khar ta ta|142?
khar pa|142?
khar ba mgar|142?
khar rtsang|142?
khar dzu ra|142?
khar sa pa ni|142?
khar gsel|142?
khal|143
khal kha|143?
khal khol|143?
khal cag|143?
khal rjes|143?
khal pa|143?
khal ban|143?
khal ma|143?
khal ri|143?
khas|143?
khas khyags|143?
khas che|143?
khas che ba|143?
khas brjod|143?
khas nyen dbang chung|143?
khas blangs|143?
khas zhan pa|143?
khas len rgan khur|143?
khas len pa|143?
khi|144
khi bi dza la|144?
khi'u|144?
khu|144?
khu khrag|144?
khu gu|144?
khu tu|144?
khu thu chi|144?
khu rdul|144?
khu nu|144?
khu rna|144?
khu po|144?
khu ba|144?
khu ba kun ldan|144?
khu ba ldan|144?
khu ba byed|144?
khu ba 'byin pa|144?
khu ba ser po|144?
khu ba'i bdag nyid|144?
khu ba'i 'pho|144?
khu ba'i dbang po|144?
khu ba'i slob ma|144?
khu be|145
khu bo|145?
khu byug|145?
khu byug grags zla|145?
khu byug mig|145?
khu byug rtsa|145?
khu mag|145?
khu tshur|145?
khu tshur gyis 'tsho|145?
khu tshur bcings|145?
khu tshur bcings pa|145?
khu tshur snun pa|145?
khu 'od bza'|145?
khu yu|145?
khu ra|145?
khu lu|145?
khu le|145?
khug|146
khug khyog|146?
khug rta|146?
khug sna|146?
khug pa|146?
khug ma|146?
khugs pa|146?
khung|147
khung drogs|147?
khung pa|147?
khung bu|147?
khung bu can|147?
khung rtsi|147?
khungs|147?
khungs ma|147?
khungs btsun|147?
khud|147?
khud pa|147?
khud ma|147?
khud ze|147?
khun ti|148
khun pa|148?
khum|148?
khum bu|148?
khums lag|148?
khur|148?
khur lci ba|148?
khur brnyan pa|148?
khur thag|148?
khur 'degs byed|148?
khur 'dren pa|148?
khur pa|148?
khur 'phrog pa|148?
khur ba|148?
khur bor ba|148?
khur blangs pa|148?
khur mang|148?
khur tshos|148?
khur bzod pa|148?
khur la mi 'jigs|148?
khur len|148?
khur bsam che ba|148?
khul|149
khul ma|149?
khul rtsid|149?
khul rtse|149?
khe|149?
khe khye|149?
khe gad|149?
khe gan rtse|149?
khe sgrub pa|149?
khe can|149?
khe nyen|149?
khe pa|149?
khe brag mdo|149?
khe med|149?
khe ru 'gro ba|149?
khe slebs chen po|149?
khe gsum|149?
khegs|150
khegs pa|150?
khengs gtam|150?
khengs ldan ma|150?
khengs pa|150?
khen 'dra|150?
khen pa|150?
khebs|150?
khebs 'gab pa|150?
khebs pa|150?
khebs sang ba|150?
khem|150?
kher rkyang|150?
kher rgyag pa|150?
khel sgo|150?
khel ba|150?
khes nyin|151
khes pa|151?
kho|151?
kho ti|151?
kho thag gcod pa|151?
kho mthing lha khang|151?
kho na|151?
kho pa|151?
kho po|151?
kho bo|151?
kho bom|151?
kho ma|151?
kho mo|151?
kho g.yu|151?
kho ra|151?
kho ra khor yug|151?
kho re|151?
kho lag|152
kho lag rdzogs|152?
khog|152?
khog gcong|152?
khog chud|152?
khog pa|152?
khog ma|152?
khog yangs|152?
khog shugs|152?
khogs pa|152?
khong|153
khong khro|153?
khong 'khrug|153?
khong gang|153?
khong snying|153?
khong snyom|153?
khong pa|153?
khong mar|153?
khong sman ser po|153?
khong rtsil|153?
khong 'dzin|153?
khong gseng|153?
khong gseb|153?
khongs|153?
khongs pa|154
khongs ril|154?
khod|154?
khod khod grangs|154?
khon|154?
khob|154?
khob khrob|154?
khom|154?
khom pa|154?
khor mo yug|155
khor mor spyod pa|155?
khor zug|155?
khor yug|155?
khor sa|155?
khol|155?
khol mchu|155?
khol du|155?
khol pa|155?
khol po|155?
khol bu|155?
khol ma|155?
khol mo|155?
khos|155?
khos rgyud|155?
khwa|155?
khwa skrod nus pa|155?
khwa ta|155?
khwa ba|155?
khya 'i tse|155?
khya le|155?
khyad|156?
khyad khyud|156?
khyad chos|156?
khyad du|156?
khyad pa|156?
khyad par|156?
khyad par bkod pa|156?
khyad par gyi 'ching ba|156?
khyad par can|156?
khyad par du|156?
khyad par gnas|156?
khyad tshar can|156?
khyad gzhi|156?
khyab cha|156?
khyab 'jug|156?
khyab 'jug rkang pa|156?
khyab 'jug skyes|156?
khyab 'jug dga' ma|156?
khyab 'jug chung ma|156?
khyab 'jug dregs pa'i gdong|156?
khyab 'jug gnas|156?
khyab 'jug gnon pa|156?
khyab 'jug gzer|156?
khyab gdal|156?
khyab bdag|156?
khyab 'dod|156?
khyab brdal|156?
khyab pa|157
khyab par 'gro ba|157?
khyab par 'dzin pa|157?
khyab byed|157?
khyams|158
khyams stod|158?
khyams pa|158?
khyams ra|158?
khyi|159
khyi dkar dung gi thag pa can|159?
khyi skad|159?
khyi khang|159?
khyi khyo|159?
khyi gu|159?
khyi dam|159?
khyi dug|159?
khyi mdud pa|159?
khyi pal jor|159?
khyi pul|159?
khyi spyang|159?
khyi bru|159?
khyi sbrang|159?
khyi mo|159?
khyi myong|159?
khyi tshang|159?
khyi 'tshed|160
khyi ra|160?
khyi ra pa|160?
khyi la wa ri|160?
khyi shig|160?
khyi shing|160?
khyi so rgyab pa|160?
khyig|160?
khyid|160?
khyim|160
khyim skyes|161
khyim skyong ba|161?
khyim khol|161?
khyim gyi kun dga' ra ba|161?
khyim gyi gtor za|161?
khyim gyi dag ra|161?
khyim gyi nor bu|161?
khyim gyi g.yabs|161?
khyim nya|161?
khyim nye ba'i rin po che|161?
khyim thab|161?
khyim dang khyim na|161?
khyim du nyal|161?
khyim bdag|161?
khyim bdag drag shul can|161?
khyim bdag dpal sbyin|161?
khyim bdag mo|161?
khyim ldan|161?
khyim nas 'byung ba|161?
khyim gnas|161?
khyim pa|161?
khyim pa rtag pa'i dpyad|161?
khyim pa'i spyod pa can|161?
khyim par gnas pa|161?
khyim phub|161?
khyim bya|161?
khyim bya mtshal lu|161?
khyim bya'i spyod pa|161?
khyim tshang|161?
khyim mtshes|161?
khyim zhag|161?
khyim zla|161?
khyim la zhen pa|161?
khyim la 'ong ba|161?
khyim sun 'byin pa|161?
khyim so|161?
khyim so sor bsgo ba|161?
khyim gsar ma|161?
khyi'u ka|161?
khyu|162
khyu mchog|162?
khyu mchog bgrod pa|162?
khyu mchog can|162?
khyu mchog mtshan pa|162?
khyu lto ba|162?
khyu 'dus pa|162?
khyu ldan|162?
khyu byug|163
khyug|163?
khyug gyug|163?
khyug tsam|163?
khyung|163?
khyung sngon skyes|163?
khyung thur can|163?
khyung sder|163?
khyung po|163?
khyung dpyad|163?
khyung rtse dgon|164?
khyung ril|164?
khyud pa|164?
khyud mo|164?
khyur po|164?
khyur mid pa|164?
khyus|164?
khye pa|164?
khye bo|164?
khye ma|164?
khyed|164?
khyen te|164?
khyebs|164?
khyem|164?
khye'u|165
khye'u kha|165?
khye'u mthon pa|165?
khyer rkyang|165?
khyel bzhugs pa|165?
khyo|165?
khyo ga|165?
khyo ga po|165?
khyo 'dam ma|165?
khyo pho|165?
khyo med pa|165?
khyo re|165?
khyo shug|165?
khyog thong|165?
khyog po|165?
khyogs|165?
khyogs pa|165?
khyong|165?
khyod|165?
khyod shugs|165?
khyon|166
khyon sgril|166?
khyon che ba|166?
khyon sdom|166?
khyon nas|166?
khyom khyom|166?
khyor ba|166?
khyol ba|166?
khra|166?
khra khra|166?
khra khro can|166?
khra rgyu|166?
khra sgrigs|166?
khra brgyan|166?
khra sna ke ru|166?
khra pa|166?
khra bo|167
khra ma|167?
khra ma gnyis sgrom|167?
khra mar|167?
khra rtse|167?
khra zur|167?
khra zla|167?
khra ring|167?
khra shig shig|167?
khra sems shes|167?
khrag|167?
khrag skem|167?
khrag khrig|168
khrag khrig snang ba|168?
khrag khrug|168?
khrag khrog|168?
khrag 'khrugs|168?
khrag ge khrug ge|168?
khrag rgyun|168?
khrag chags rta|168?
khrag 'thung|168?
khrag 'thung 'bu|168?
khrag 'thung srin bu|168?
khrag ldan|168?
khrag ldan ma|168?
khrag por skye ba|168?
khrag 'bab|168?
khrag ro|168?
khrag ling|168?
khrag shas che ba|168?
khrag shor|168?
khrag bshal|168?
khrang|169
khrad pa|169?
khrab|169?
khrab khrab|169?
khrab mkhan|169?
khrab can|169?
khrab byang gu|169?
khrab byin lus kheb|169?
khram|169?
khram kha|169?
khram khrum|169?
khram ldan|169?
khram pa|169?
khram byed|169?
khram shing|169?
khral|170
khral khrug|170?
khral khrul|170?
khral rgyug pa|170?
khral 'jal ba|170?
khral sdu ba|170?
khral gsar|170?
khri|170?
khri rkang can|170?
khri kha|170?
khri chen|170?
khri chen ngag dbang mchog ldan|170?
khri chen ngag dbang snyan grags|170?
khri snyan|170?
khri snyan sa le|170?
khri stan chen po|170?
khri gdugs|170?
khri ldan seng ge'i mdzod|170?
khri phyed dang gnyis|170?
khri 'phang|170?
khri min|170?
khri 'ur|170?
